Result,Description,Lat,Lng,Image,Detail
傷んだ歩道を改修,要町駅周辺の歩道の水溜まりと段差の解消を目的に改修を実施,35.733616,139.698065,p20,
傷んだ歩道を改修,要町駅周辺の歩道の水溜まりと段差の解消を目的に改修を実施,35.733298,139.697316,no-image,
路上駐輪場の改修,要町駅、千川駅周辺の路上駐輪場の改修を行い、「思いやりゾーン」を設置,35.733419,139.698288,p22,
路上駐輪場の改修,要町駅、千川駅周辺の路上駐輪場の改修を行い、「思いやりゾーン」を設置,35.733181,139.698401,no-image,
消防団分団本部の設置,池袋消防団第三分団本部が都営高松三丁目第４アパート敷地内に設置,35.739915,139.697407,no-image,
消防団倉庫設置,池袋消防団の施設が手狭なところから、都建設局と連携し、椎名橋下に消防団第四分団の倉庫を設置,35.72657,139.69562,p25,
郵便ポスト存続,地元住民の要望を受け、撤去予定だった目白４丁目のポストを目白図書館敷地に移動。ポストの存続されました,35.725554,139.698763,p26,
区道の右折禁止化を転換,国道17号線拡幅による豊島市場前交差点の右折禁止化が発表されたものの、住民から困惑の声が上がり、区議会に方針変換の請願が提出されました。警視庁などとの交渉の結果、現状のまま右折可能となりました,35.736714,139.735464,p27,
踏切の安全整備,西武線の踏切で高齢者が電車に接触する事故が発生。事故防止策として区道ペイントや注意看板設置。さらに踏切の改修に向け、長橋都議から石井国交相に国交省の「鉄道安全対策重点100か所」への認定を要望,35.726194,139.696734,p28,http://www.komei.or.jp/km/tokyo-nagahashi-keiichi/2017/02/18/180003/
都電踏切のレール補修,高齢者が都電踏切りを通行中に買い物かごがレール隙間に挟まり転倒したことを受け、レール補修を行いました,35.732371,139.729623,no-image,
都電の踏切に警報機を設置,小学生の通学路となる都電の踏切に警報機を設置,35.728542,139.724574,no-image,
都電の通過時間を調整,大塚駅周辺の都電の踏切の通行の安全確保のため、通過速度を遅くした,35.731849,139.729464,p31,
都電沿線に水道栓を設置,都電沿線のバラ植栽用に水道栓を3か所設置,35.730675,139.72741,p32,
都電沿線に水道栓を設置,都電沿線のバラ植栽用に水道栓を3か所設置,35.729765,139.725853,p33,
消防団分団本部を設置,老朽化していた豊島消防団第二分団本部を移転新設しました,35.7313,139.731393,no-image,
新たな下水道管を設置,豪雨災害による被害が甚大であった地域へ新たな下水道管設置工事を推進,35.73081,139.730003,no-image,
新たな下水道管を設置,豪雨災害による被害が甚大であった地域へ新たな下水道管設置工事を推進,35.725402,139.735507,no-image,
カーブミラーを新設,学校近くでもあり、見通しの悪い交差点にカーブミラーを設置,35.739842,139.715087,no-image,
電柱の移設,狭隘道路で住宅のひさしに通行車が接触するとの相談があり、電柱を移設し、道路幅を確保しました,35.735305,139.705455,no-image,
ウイロードに手すり設置,高齢者から要望のあった手すり設置,35.731651,139.71126,p39,
街路灯設置,道が暗く危険を感じるとの要望があり街路灯を設置,35.736847,139.720852,no-image,
街路灯設置,道が暗く危険を感じるとの要望があり街路灯を設置,35.737413,139.721928,no-image,
備蓄倉庫を設置,長い間放置された土地の有効活用し、備蓄倉庫を設置,35.735416,139.72391,no-image,
避難通路を新設,西巣鴨2丁目地域の住民の災害時避難通路を確保。また文京高校北側に災害時のための避難通路設置,35.736648,139.728938,no-image,
都電駅の両方通路を確保,庚申塚方面の出入り口を整備し、両方通路を確保,35.736134,139.727402,no-image,
音声信号を設置,東池袋２丁目交差点に、視覚障がい者が安心してわたれるよう、音声信号を設置,35.730353,139.72273,no-image,
補助８１号線の周辺整備,工事中の補助８１号線用地の歩行者通り抜けが可能となるよう働きかけ,35.72812,139.724148,no-image,
駅直結のエレベーター,東池袋旧都バス車庫跡地を含む東池袋四丁目2番街区の市街地再開発ビル計画に、有楽町線直結のエレベーター設置を盛り込む,35.725314,139.720314,no-image,
地域協議会の設置,環状5の１号線地上道路整備の地域協議会設置を推進,35.722471,139.716671,no-image,
カーブミラー設置,細い区道の交差点で、出合頭の事故があったため、カーブミラーを設置,35.73173,139.684357,p49,
道路標示を整備,スーパー横のため、人、車の往来も多く、事故を心配する声があり、減速マークやドット線、自転車ストップマークを設置,35.731252,139.683417,p50,
カーブミラー設置,細い区道の交差点で、出合頭の事故があったため、カーブミラーを設置,35.73715,139.683599,p51,
逆走の注意喚起看板,一方通行道路に逆走が多いため事故の心配があり、注意喚起する看板を設置,35.736696,139.687524,no-image,
明豊中学校の校庭改修,校庭の砂が白くなり炎天下時に反射するようになり眼に悪影響があるため、校庭の改修を行う,35.735106,139.684525,p53,
道路標示を整備,児童の通学路で、車の往来も多く、事故を心配する声があったため、道路標示を整備,35.726223,139.683068,p54,
区道の舗装,店舗前の区道が傷み水捌けが悪く溜まるようになったため、区道を舗装工事を行った,35.730997,139.681331,no-image,
東長崎駅南口駅前の整備,駅前の小公園が汚い、暗い、交番の位置が悪いなどの声があり、東長崎駅前の整備を行う。2019年完成予定,35.729624,139.683311,p56,
無料Wi-Fiの設置,災害時の通信確保と旅行客の利便性向上の一環で、無料Wi-Fiを設置,35.730129,139.709114,p57,http://www.komei.or.jp/km/tokyo-nagahashi-keiichi/achievements/#j5
無料Wi-Fiの設置,災害時の通信確保と旅行客の利便性向上の一環で、無料Wi-Fiを設置,35.729955,139.712163,no-image,http://www.komei.or.jp/km/tokyo-nagahashi-keiichi/achievements/#j5
無料Wi-Fiの設置,災害時の通信確保と旅行客の利便性向上の一環で、無料Wi-Fiを設置,35.727853,139.714307,p59,http://www.komei.or.jp/km/tokyo-nagahashi-keiichi/achievements/#j5
駅ホームドアの設置,ホームからの転落事故を防ぐため、駅ホームドアを設置（ＪＲ山手線、丸ノ内線、有楽町線）,35.729801,139.711004,p60,
駅ホームドアの設置,視覚障害者がホームから転落する事故を受け、駅ホームに、内方線付き点字ブロックとホームドアを設置,35.721164,139.706519,p61,
駅ホームドアの設置,ホームからの転落事故を防ぐため、駅ホームドアを設置（ＪＲ山手線、丸ノ内）,35.731775,139.728352,p62,
駅ホームドアの設置,ホームからの転落事故を防ぐため、駅ホームドアを設置（ＪＲ山手線、三田線）,35.733598,139.739866,p63,
駅ホームドアの設置,ホームからの転落事故を防ぐため、駅ホームドアを設置（有楽町線、副都心線）,35.733208,139.698736,no-image,
駅ホームドアの設置,ホームからの転落事故を防ぐため、駅ホームドアを設置,35.726045,139.718752,no-image,
駅ホームドアの設置,ホームからの転落事故を防ぐため、駅ホームドアを設置,35.720156,139.714809,no-image,
駅ホームドアの設置,ホームからの転落事故を防ぐため、駅ホームドアを設置（有楽町線、副都心線）,35.738074,139.68963,no-image,
スポーツセンター設置推進,旧長崎中をスポーツセンターに。利用料金の値下げも。,35.724724,139.683259,p68,
バス停の設置,南長崎３丁目にバス停を設置,35.722949,139.686521,p69,
交番の存続,椎名町駅の改修に当たって、駅前交番を存続,35.726538,139.694682,p71,
豪雨対策,長崎２丁目の地下配水管を拡張し、豪雨時の冠水を防止,35.727198,139.693599,p72,
特養ホーム・保育園整備,旧千川小に特別養護老人ホーム・保育園の整備を推進,35.74077,139.689242,no-image,
地下鉄の出入口を設置,雑司が谷駅の目白通り出入り口の設置を推進,35.718684,139.714296,no-image,
橋の補修工事,災害時の倒壊を防ぐため、老朽化が進んでいた池袋大橋の補修工事を推進,35.734571,139.71589,no-image,
点字ブロックと音声信号,視覚障がい者でも安心して道路を渡れるように、東池袋駅とサンシャイン間の道路に、点字ブロックと音声信号を設置,35.728356,139.718967,no-image,
エレベーター設置,西巣鴨駅にエレベーターを設置,35.743332,139.728555,no-image,
桜のライトアップ,染井霊園入り口の桜のライトアップと周辺の豪雨対策,35.738805,139.738548,p77,
児童精神科外来を設置,発達障がい児童の専門外来の「児童精神科」を都立大塚病院に設置,35.72489,139.73168,p78,http://www.komei.or.jp/km/tokyo-nagahashi-keiichi/achievements/#j1
停留場に屋根,都バス「巣鴨駅南」停留所に屋根とベンチを設置,35.732648,139.739571,p79,
大塚駅の南北自由通路,JR大塚駅を改修、南北自由通路の整備を推進,35.731256,139.728505,p80,
区民ひろばに通信カラオケ導入,地域の親睦のために必要との相談があり、導入,35.73705225,139.7475172,no-image,
区民ひろばに通信カラオケ導入,地域の親睦のために必要との相談があり、導入,35.7290329,139.7298941,no-image,
区民ひろばに通信カラオケ導入,地域の親睦のために必要との相談があり、導入,35.73564718,139.7338185,p83,
区民ひろばに通信カラオケ導入,地域の親睦のために必要との相談があり、導入,35.74039217,139.7278048,no-image,
区民ひろばに通信カラオケ導入,地域の親睦のために必要との相談があり、導入,35.73878429,139.7277306,no-image,
区民ひろばに通信カラオケ導入,地域の親睦のために必要との相談があり、導入,35.7318766,139.7214137,no-image,
区民ひろばに通信カラオケ導入,地域の親睦のために必要との相談があり、導入,35.74065947,139.7335043,no-image,
区民ひろばに通信カラオケ導入,地域の親睦のために必要との相談があり、導入,35.73997834,139.7166445,no-image,
区民ひろばに通信カラオケ導入,地域の親睦のために必要との相談があり、導入,35.72772498,139.7067745,p89,
区民ひろばに通信カラオケ導入,地域の親睦のために必要との相談があり、導入,35.73369402,139.7032474,no-image,
区民ひろばに通信カラオケ導入,地域の親睦のために必要との相談があり、導入,35.74362512,139.7127413,no-image,
区民ひろばに通信カラオケ導入,地域の親睦のために必要との相談があり、導入,35.72345042,139.7139539,no-image,
区民ひろばに通信カラオケ導入,地域の親睦のために必要との相談があり、導入,35.71569528,139.7143832,no-image,
区民ひろばに通信カラオケ導入,地域の親睦のために必要との相談があり、導入,35.71590666,139.7109489,no-image,
区民ひろばに通信カラオケ導入,地域の親睦のために必要との相談があり、導入,35.72965256,139.6930922,no-image,
区民ひろばに通信カラオケ導入,地域の親睦のために必要との相談があり、導入,35.72470781,139.6849306,no-image,
区民ひろばに通信カラオケ導入,地域の親睦のために必要との相談があり、導入,35.73717775,139.6873175,no-image,
区民ひろばに通信カラオケ導入,地域の親睦のために必要との相談があり、導入,35.72392458,139.6917001,no-image,
区民ひろばに通信カラオケ導入,地域の親睦のために必要との相談があり、導入,35.73872785,139.6975804,no-image,
区民ひろばに通信カラオケ導入,地域の親睦のために必要との相談があり、導入,35.72970631,139.6810064,no-image,
区民ひろばに通信カラオケ導入,地域の親睦のために必要との相談があり、導入,35.73654766,139.6827578,no-image,
区民ひろばに通信カラオケ導入,地域の親睦のために必要との相談があり、導入,35.7352782,139.7323635,p102,
情緒障害通級指導学級を設置,千川中学校に発達障がいの生徒のための情緒障害通級指導学級を設置,35.736049,139.700114,no-image,
情緒障害通級指導学級を新設,西巣鴨中学校に情緒障害通級指導学級を平成29年度新設,35.728894,139.727449,no-image,
カーブミラーを設置,町会から要望があり危険な交差点にカーブミラーを設置,35.724255,139.721957,no-image,
歩道のインターロッキング舗装,歩道のインターロッキング舗装拡大を第四建設事務所に要望し実現,35.723968,139.722398,no-image,
路面に「止まれ」の表示,接触事故の危険度が高い路面に止まれの表示を設置,35.726932,139.719942,p107,
